# name          zcmb        zhel          dz        dist       ddist       delta      ddelta          Ab         dAb  cov_m_del   cov_m_Ab  cov_delta
1999fj      0.815000    0.815000    0.000000   43.989998    0.330000    0.000000    0.000000    0.230000    0.000000   0.000000   0.000000   0.000000
1999ff      0.455000    0.455000    0.000000   42.480000    0.280000    0.000000    0.000000    0.190000    0.000000   0.000000   0.000000   0.000000
1999fv      1.190000    1.190000    0.000000   44.430000    0.340000    0.000000    0.000000    0.240000    0.000000   0.000000   0.000000   0.000000
1999fh      0.369000    0.369000    0.000000   42.320000    0.310000    0.000000    0.000000    0.700000    0.000000   0.000000   0.000000   0.000000
1999fn      0.477000    0.477000    0.000000   42.530003    0.210000    0.000000    0.000000    0.150000    0.000000   0.000000   0.000000   0.000000
1999gp      0.026000    0.026000    0.000000   35.799999    0.200000    0.000000    0.000000    0.180000    0.000000   0.000000   0.000000   0.000000
2000B       0.019300    0.019300    0.000000   34.869999    0.230000    0.000000    0.000000    0.280000    0.000000   0.000000   0.000000   0.000000
2000bk      0.026600    0.026600    0.000000   35.549999    0.210000    0.000000    0.000000    0.190000    0.000000   0.000000   0.000000   0.000000
2000cf      0.036000    0.036000    0.000000   36.599998    0.180000    0.000000    0.000000    0.210000    0.000000   0.000000   0.000000   0.000000
2000cn      0.023300    0.023300    0.000000   35.220001    0.210000    0.000000    0.000000    0.080000    0.000000   0.000000   0.000000   0.000000
2000ce      0.016400    0.016400    0.000000   35.490002    0.230000    0.000000    0.000000    1.020000    0.000000   0.000000   0.000000   0.000000
2000dk      0.016400    0.016400    0.000000   34.360001    0.240000    0.000000    0.000000   -0.050000    0.000000   0.000000   0.000000   0.000000
2000dz      0.500000    0.500000    0.000000   42.840000    0.240000    0.000000    0.000000    0.090000    0.000000   0.000000   0.000000   0.000000
2000eh      0.490000    0.490000    0.000000   42.610001    0.250000    0.000000    0.000000    0.200000    0.000000   0.000000   0.000000   0.000000
2000ee      0.470000    0.470000    0.000000   42.870003    0.230000    0.000000    0.000000    0.130000    0.000000   0.000000   0.000000   0.000000
2000eg      0.540000    0.540000    0.000000   42.079998    0.410000    0.000000    0.000000    0.120000    0.000000   0.000000   0.000000   0.000000
2000ea      0.420000    0.420000    0.000000   41.840000    0.320000    0.000000    0.000000    1.050000    0.000000   0.000000   0.000000   0.000000
2000ec      0.470000    0.470000    0.000000   42.900002    0.210000    0.000000    0.000000    0.130000    0.000000   0.000000   0.000000   0.000000
2000fr      0.543000    0.543000    0.000000   42.680000    0.190000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
2000fa      0.021800    0.021800    0.000000   35.500000    0.210000    0.000000    0.000000    0.440000    0.000000   0.000000   0.000000   0.000000
2001V       0.016200    0.016200    0.000000   34.410000    0.230000    0.000000    0.000000    0.280000    0.000000   0.000000   0.000000   0.000000
2001fs      0.873000    0.873000    0.000000   44.389999    0.380000    0.000000    0.000000    0.640000    0.000000   0.000000   0.000000   0.000000
2001fo      0.771000    0.771000    0.000000   43.169998    0.170000    0.000000    0.000000    0.050000    0.000000   0.000000   0.000000   0.000000
2001hy      0.811000    0.811000    0.000000   44.000000    0.350000    0.000000    0.000000    0.030000    0.000000   0.000000   0.000000   0.000000
2001hx      0.798000    0.798000    0.000000   44.190002    0.310000    0.000000    0.000000    0.310000    0.000000   0.000000   0.000000   0.000000
2001hs      0.832000    0.832000    0.000000   43.649998    0.290000    0.000000    0.000000    0.100000    0.000000   0.000000   0.000000   0.000000
2001hu      0.882000    0.882000    0.000000   44.020000    0.300000    0.000000    0.000000    0.120000    0.000000   0.000000   0.000000   0.000000
2001iw      0.340000    0.340000    0.000000   41.439999    0.270000    0.000000    0.000000    0.730000    0.000000   0.000000   0.000000   0.000000
2001iv      0.397000    0.397000    0.000000   41.799999    0.300000    0.000000    0.000000    0.910000    0.000000   0.000000   0.000000   0.000000
2001iy      0.570000    0.570000    0.000000   42.840000    0.310000    0.000000    0.000000   -0.040000    0.000000   0.000000   0.000000   0.000000
2001ix      0.710000    0.710000    0.000000   43.579998    0.320000    0.000000    0.000000    0.530000    0.000000   0.000000   0.000000   0.000000
2001jp      0.528000    0.528000    0.000000   42.869999    0.250000    0.000000    0.000000    0.100000    0.000000   0.000000   0.000000   0.000000
2001jh      0.884000    0.884000    0.000000   44.220001    0.190000    0.000000    0.000000   -0.010000    0.000000   0.000000   0.000000   0.000000
2001jb      0.698000    0.698000    0.000000   43.480003    0.320000    0.000000    0.000000    0.150000    0.000000   0.000000   0.000000   0.000000
2001jf      0.815000    0.815000    0.000000   44.320000    0.280000    0.000000    0.000000    0.230000    0.000000   0.000000   0.000000   0.000000
2001jm      0.977000    0.977000    0.000000   44.090000    0.260000    0.000000    0.000000    0.180000    0.000000   0.000000   0.000000   0.000000
2001kd      0.935000    0.935000    0.000000   44.130001    0.380000    0.000000    0.000000    0.140000    0.000000   0.000000   0.000000   0.000000
2002P       0.719000    0.719000    0.000000   43.330002    0.260000    0.000000    0.000000    0.110000    0.000000   0.000000   0.000000   0.000000
2002ab      0.422000    0.422000    0.000000   42.119999    0.170000    0.000000    0.000000    0.100000    0.000000   0.000000   0.000000   0.000000
2002ad      0.514000    0.514000    0.000000   42.480000    0.270000    0.000000    0.000000    0.090000    0.000000   0.000000   0.000000   0.000000
2002dc      0.475000    0.475000    0.000000   42.369999    0.190000    0.000000    0.000000    0.230000    0.000000   0.000000   0.000000   0.000000
2002dd      0.950000    0.950000    0.000000   44.300003    0.260000    0.000000    0.000000    0.240000    0.000000   0.000000   0.000000   0.000000
2002fw      1.300000    1.300000    0.000000   45.480000    0.190000    0.000000    0.000000    0.210000    0.000000   0.000000   0.000000   0.000000
2002fx      1.400000    1.400000    0.000000   45.580002    0.450000    0.000000    0.000000    0.490000    0.000000   0.000000   0.000000   0.000000
2002hr      0.526000    0.526000    0.000000   43.750000    0.270000    0.000000    0.000000    0.740000    0.000000   0.000000   0.000000   0.000000
2002hp      1.305000    1.305000    0.000000   44.889999    0.220000    0.000000    0.000000    0.190000    0.000000   0.000000   0.000000   0.000000
2002kc      0.216000    0.216000    0.000000   41.620003    0.180000    0.000000    0.000000    1.290000    0.000000   0.000000   0.000000   0.000000
2002kd      0.735000    0.735000    0.000000   43.299999    0.190000    0.000000    0.000000    0.210000    0.000000   0.000000   0.000000   0.000000
2002ki      1.140000    1.140000    0.000000   44.930000    0.300000    0.000000    0.000000    0.090000    0.000000   0.000000   0.000000   0.000000
2003az      1.265000    1.265000    0.000000   45.450001    0.200000    0.000000    0.000000    0.250000    0.000000   0.000000   0.000000   0.000000
2003ak      1.551000    1.551000    0.000000   46.160000    0.220000    0.000000    0.000000    0.860000    0.000000   0.000000   0.000000   0.000000
2003bd      0.670000    0.670000    0.000000   43.459999    0.280000    0.000000    0.000000    0.270000    0.000000   0.000000   0.000000   0.000000
2003be      0.640000    0.640000    0.000000   43.299999    0.210000    0.000000    0.000000    0.230000    0.000000   0.000000   0.000000   0.000000
2003dy      1.340000    1.340000    0.000000   45.590000    0.250000    0.000000    0.000000    0.540000    0.000000   0.000000   0.000000   0.000000
2003es      0.954000    0.954000    0.000000   44.349998    0.310000    0.000000    0.000000    0.070000    0.000000   0.000000   0.000000   0.000000
2003eq      0.839000    0.839000    0.000000   44.080002    0.220000    0.000000    0.000000    0.220000    0.000000   0.000000   0.000000   0.000000
2003eb      0.899000    0.899000    0.000000   43.899998    0.250000    0.000000    0.000000    0.260000    0.000000   0.000000   0.000000   0.000000
2003XX      0.940000    0.940000    0.000000   44.020000    0.200000    0.000000    0.000000    0.150000    0.000000   0.000000   0.000000   0.000000
