# name          zcmb        zhel          dz        dist       ddist       delta      ddelta          Av         dAv  cov_m_del   cov_m_Av  cov_delta_Av
sn97cu      0.062000    0.062000    0.000000   21.199999    0.225000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97cw      0.016400    0.016400    0.000000   19.745485    0.140000    0.000000    0.000000    1.040000    0.000000   0.000000   0.000000   0.000000
sn97dg      0.029700    0.029700    0.000000   20.495646    0.145000    0.000000    0.000000    0.250000    0.000000   0.000000   0.000000   0.000000
sn97do      0.010400    0.010400    0.000000   18.148226    0.140000    0.000000    0.000000    0.320000    0.000000   0.000000   0.000000   0.000000
sn97dr      0.075000    0.075000    0.000000   21.480000    0.195000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97dt      0.006100    0.006100    0.000000   17.483387    0.215000    0.000000    0.000000    0.460000    0.000000   0.000000   0.000000   0.000000
sn97fb      0.053000    0.053000    0.000000   22.209032    0.225000    0.000000    0.000000    0.710000    0.000000   0.000000   0.000000   0.000000
sn97fc      0.054000    0.054000    0.000000   21.282257    0.195000    0.000000    0.000000    0.100000    0.000000   0.000000   0.000000   0.000000
sn97fd      0.190000    0.190000    0.000000   24.440001    0.325000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97ff      1.755000    1.755000    0.000000   29.525002    0.415000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn98D       0.013200    0.013200    0.000000   18.289516    0.345000    0.000000    0.000000    0.200000    0.000000   0.000000   0.000000   0.000000
sn98I       0.887000    0.887000    0.000000   28.205645    0.265000    0.000000    0.000000    0.250000    0.000000   0.000000   0.000000   0.000000
sn98J       0.833000    0.833000    0.000000   28.418869    0.260000    0.000000    0.000000    0.260000    0.000000   0.000000   0.000000   0.000000
sn98M       0.630000    0.630000    0.000000   27.350323    0.225000    0.000000    0.000000    0.280000    0.000000   0.000000   0.000000   0.000000
sn98V       0.017000    0.017000    0.000000   18.840000    0.140000    0.000000    0.000000    0.310000    0.000000   0.000000   0.000000   0.000000
sn98ab      0.027800    0.027800    0.000000   20.160322    0.125000    0.000000    0.000000    0.590000    0.000000   0.000000   0.000000   0.000000
sn98ac      0.467000    0.467000    0.000000   26.657099    0.215000    0.000000    0.000000    0.270000    0.000000   0.000000   0.000000   0.000000
sn98aj      0.860000    0.860000    0.000000   28.754517    0.350000    0.000000    0.000000    0.200000    0.000000   0.000000   0.000000   0.000000
sn98aq      0.003700    0.003700    0.000000   15.984355    0.115000    0.000000    0.000000    0.060000    0.000000   0.000000   0.000000   0.000000
sn98bp      0.010400    0.010400    0.000000   17.930485    0.145000    0.000000    0.000000    0.420000    0.000000   0.000000   0.000000   0.000000
sn98br      0.081000    0.081000    0.000000   22.725805    0.315000    0.000000    0.000000    0.390000    0.000000   0.000000   0.000000   0.000000
sn98bu      0.004300    0.004300    0.000000   15.922257    0.140000    0.000000    0.000000    1.030000    0.000000   0.000000   0.000000   0.000000
sn98cm      0.080000    0.080000    0.000000   22.466127    0.295000    0.000000    0.000000    0.360000    0.000000   0.000000   0.000000   0.000000
sn98co      0.017100    0.017100    0.000000   19.015324    0.230000    0.000000    0.000000    0.280000    0.000000   0.000000   0.000000   0.000000
sn98cs      0.032700    0.032700    0.000000   19.819677    0.185000    0.000000    0.000000    0.030000    0.000000   0.000000   0.000000   0.000000
sn98de      0.015700    0.015700    0.000000   19.534355    0.120000    0.000000    0.000000    0.680000    0.000000   0.000000   0.000000   0.000000
sn98dh      0.007600    0.007600    0.000000   17.676292    0.170000    0.000000    0.000000    0.500000    0.000000   0.000000   0.000000   0.000000
sn98dk      0.012000    0.012000    0.000000   18.913065    0.140000    0.000000    0.000000    0.800000    0.000000   0.000000   0.000000   0.000000
sn98dm      0.005400    0.005400    0.000000   18.891935    0.140000    0.000000    0.000000    1.060000    0.000000   0.000000   0.000000   0.000000
sn98do      0.092000    0.092000    0.000000   22.309999    0.345000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn98dv      0.155000    0.155000    0.000000   24.085484    0.620000    0.000000    0.000000    0.420000    0.000000   0.000000   0.000000   0.000000
sn98dw      0.049000    0.049000    0.000000   21.040001    0.255000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn98dx      0.053800    0.053800    0.000000   20.941130    0.150000    0.000000    0.000000    0.050000    0.000000   0.000000   0.000000   0.000000
sn98dz      0.091000    0.091000    0.000000   22.501614    0.225000    0.000000    0.000000    0.160000    0.000000   0.000000   0.000000   0.000000
sn98ea      0.057000    0.057000    0.000000   22.337097    0.215000    0.000000    0.000000    0.580000    0.000000   0.000000   0.000000   0.000000
sn98ec      0.020000    0.020000    0.000000   19.758873    0.195000    0.000000    0.000000    0.570000    0.000000   0.000000   0.000000   0.000000
sn98ef      0.017000    0.017000    0.000000   18.355806    0.140000    0.000000    0.000000    0.080000    0.000000   0.000000   0.000000   0.000000
sn98eg      0.023400    0.023400    0.000000   19.828871    0.210000    0.000000    0.000000    0.260000    0.000000   0.000000   0.000000   0.000000
sn98es      0.009500    0.009500    0.000000   17.626451    0.155000    0.000000    0.000000    0.330000    0.000000   0.000000   0.000000   0.000000
sn98fb      0.060000    0.060000    0.000000   21.310001    0.295000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn99Q       0.460000    0.460000    0.000000   26.772581    0.210000    0.000000    0.000000    0.070000    0.000000   0.000000   0.000000   0.000000
sn99U       0.500000    0.500000    0.000000   26.631451    0.350000    0.000000    0.000000    0.020000    0.000000   0.000000   0.000000   0.000000
sn99X       0.025700    0.025700    0.000000   19.876451    0.185000    0.000000    0.000000    0.330000    0.000000   0.000000   0.000000   0.000000
sn99aa      0.015700    0.015700    0.000000   18.433226    0.160000    0.000000    0.000000    0.010000    0.000000   0.000000   0.000000   0.000000
sn99ac      0.009900    0.009900    0.000000   17.945484    0.115000    0.000000    0.000000    0.420000    0.000000   0.000000   0.000000   0.000000
sn99ao      0.055000    0.055000    0.000000   21.553871    0.195000    0.000000    0.000000    0.260000    0.000000   0.000000   0.000000   0.000000
sn99by      0.002700    0.002700    0.000000   16.287258    0.835000    0.000000    0.000000    0.720000    0.000000   0.000000   0.000000   0.000000
sn99cc      0.031600    0.031600    0.000000   20.086937    0.145000    0.000000    0.000000    0.130000    0.000000   0.000000   0.000000   0.000000
sn99cl      0.008200    0.008200    0.000000   17.266935    0.450000    0.000000    0.000000    1.680000    0.000000   0.000000   0.000000   0.000000
sn99cp      0.010400    0.010400    0.000000   17.677904    0.130000    0.000000    0.000000    0.040000    0.000000   0.000000   0.000000   0.000000
sn99cw      0.011200    0.011200    0.000000   17.569839    0.170000    0.000000    0.000000    0.170000    0.000000   0.000000   0.000000   0.000000
sn99da      0.012100    0.012100    0.000000   18.882097    0.220000    0.000000    0.000000    0.580000    0.000000   0.000000   0.000000   0.000000
sn99dk      0.014100    0.014100    0.000000   18.522581    0.195000    0.000000    0.000000    0.070000    0.000000   0.000000   0.000000   0.000000
sn99dq      0.013600    0.013600    0.000000   18.202904    0.115000    0.000000    0.000000    0.350000    0.000000   0.000000   0.000000   0.000000
sn99ef      0.038000    0.038000    0.000000   20.774675    0.165000    0.000000    0.000000    0.030000    0.000000   0.000000   0.000000   0.000000
sn99ej      0.012700    0.012700    0.000000   18.525806    0.155000    0.000000    0.000000    0.080000    0.000000   0.000000   0.000000   0.000000
sn99ek      0.017600    0.017600    0.000000   19.254999    0.220000    0.000000    0.000000    0.620000    0.000000   0.000000   0.000000   0.000000
sn99ff      0.455000    0.455000    0.000000   26.656612    0.240000    0.000000    0.000000    0.160000    0.000000   0.000000   0.000000   0.000000
sn99fh      0.369000    0.369000    0.000000   26.600807    0.305000    0.000000    0.000000    0.700000    0.000000   0.000000   0.000000   0.000000
sn99fj      0.815000    0.815000    0.000000   27.939032    0.255000    0.000000    0.000000    0.090000    0.000000   0.000000   0.000000   0.000000
sn99fk      1.056000    1.056000    0.000000   28.334677    0.270000    0.000000    0.000000    0.030000    0.000000   0.000000   0.000000   0.000000
